class	channel	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255
green	hue	5.416661138038709e-14	3.311099921875847e-12	1.379761375707081e-10	3.931131855548116e-09	7.688585757625871e-08	1.0375943530201441e-06	9.723101471284728e-06	6.373190831348686e-05	0.0002946004215059171	0.0009697264388101637	0.0023071564780976516	0.004093306902294894	0.0058101992454630096	0.00747315121454608	0.009808328432344873	0.013403707314884184	0.018305743982233266	0.024193011099527862	0.030976102899697888	0.039577247520624824	0.05072534757165153	0.06226896380476229	0.06863759927837394	0.06565285925195544	0.05711754571490745	0.051589753513192546	0.05201313100554113	0.05511627783993039	0.05849413310579781	0.06099044642186877	0.06008714876162288	0.05409018406854134	0.04410524863341468	0.03274962814920066	0.022402420385047084	0.014336258281612727	0.00865090453519235	0.005119102607618716	0.0037714159777124403	0.0040533905311817605	0.004355266840671875	0.003496206537284296	0.0019377224376783703	0.000729773379492613	0.0001861839081100405	3.215796350300471e-05	3.75987900350328e-06	2.975687160270241e-07	1.594140184072167e-08	5.780842291273144e-10	1.4189954769545675e-11	2.3577413403264086e-13	2.651774310913545e-15	2.0188414466909093e-17	1.0403826897126402e-19	3.629186404923811e-22	8.56940532960383e-25	1.3696744279673018e-27	1.4818671201419711e-30	1.0852415892269282e-33	5.379833657652246e-37	1.8052465300594563e-40	4.100430378520047e-44	6.304456001098449e-48	6.5613173865229666e-52	4.6223170016515965e-56	2.2042135047113275e-60	7.114966238698582e-65	1.5545950504973205e-69	2.2992541018996697e-74	2.3018759290090425e-79	1.5599192061624814e-84	7.155624647187889e-90	2.2218679766257126e-95	4.6699711773681654e-101	6.644088412593237e-107	6.398554272999396e-113	4.171128461274088e-119	1.8405623115405078e-125	5.497594922847654e-132	1.1115274715594692e-138	1.5212231194035705e-145	1.4092592229212288e-152	8.837188253138885e-160	3.751134010158277e-167	1.0777953487618581e-174	2.096212385429067e-182	2.7596849969950483e-190	2.459285757572787e-198	1.483486945904699e-206	6.057364607442858e-215	1.6742062334679107e-223	3.132271837495587e-232	3.96675327641776e-241	3.4004483666266565e-250	1.9731605899745254e-259	7.750218254167992e-269	2.0605857175014726e-278	3.708452237610247e-288	4.5177266185623425e-298	3.725396104300998e-308	2.079463e-318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
background	hue	0.011485567487582008	0.01308553133749058	0.014797029590277379	0.01660497849734467	0.018489214447639048	0.020424484377957398	0.022380692269672577	0.024323427024033395	0.026214780118646322	0.028014441319895018	0.029681038845675085	0.03117366861352392	0.03245353766054819	0.033485631569005705	0.0342403066134191	0.03469470571786732	0.03483390385500402	0.034651703109612804	0.0341510193135275	0.03334382921473541	0.03225067725097433	0.030899771480817143	0.029325726342934504	0.02756803316534972	0.025669355741496862	0.02367375656028711	0.021624958994413326	0.01956474234108392	0.017531551267550294	0.015559380732609944	0.013676973993453755	0.011907347132987295	0.010267630785277716	0.008769200176386745	0.007418049517231421	0.006215356893549909	0.005158181229605446	0.004240233278928585	0.003452667138804462	0.0027848464564083444	0.0022250491406821116	0.0017610848835445103	0.0013808101253719425	0.0010725344765584628	0.0008253204765568473	0.0006291846292934939	0.0004752118194229155	0.00035559759083865527	0.00026363359180441747	0.0001936510724764774	0.00014093600209136588	0.00010162748594079217	7.260899899585881e-05	5.139975065598038e-05	3.6051428365552025e-05	2.50537508330789e-05	1.7250754796807395e-05	1.1768559985148626e-05	7.954490684815209e-06	5.326844078880196e-06	3.5342391333899125e-06	2.323305724584546e-06	1.5134343293449788e-06	9.7735980629084e-07	6.264636399976717e-07	3.9982027364691705e-07	2.561648950391929e-07	1.6810873498091752e-07	1.1806526668859814e-07	9.547232944257854e-08	9.49996534423063e-08	1.155189048091886e-07	1.5968561592988153e-07	2.3404105196045727e-07	3.4958897882242854e-07	5.228388599001285e-07	7.773340570900465e-07	1.1457012990311253e-06	1.6722654542208184e-06	2.416270328600863e-06	3.455730152297972e-06	4.891905785838859e-06	6.854352783743301e-06	9.506424242924858e-06	1.3051029918261274e-05	1.7736356191644113e-05	2.3861143147642114e-05	3.1779001909089926e-05	4.190114707755713e-05	5.4696827990677255e-05	7.069068331475062e-05	9.045623248267405e-05	0.0001146047710116276	0.00014376906940750332	0.0001785814978785338	0.0002196465158476192	0.0002675078721074249	0.000322611343779369	0.00038526437379697066	0.00045559450959181636	0.0005335090519200059	0.0006186587369264137	0.0007104085384244552	0.0008078187359052587	0.0009096392018265916	0.0010143193910281429	0.0011200357606919549	0.0012247373341003774	0.0013262088986518371	0.001422149980288062	0.0015102663689611896	0.001588369705077938	0.001654479601358805	0.0017069220855430855	0.001744417901343224	0.0017661544572886295	0.0017718359803855525	0.001761707679398381	0.0017365513680465115	0.001697651916394377	0.0016467359334318887	0.0015858860641909792	0.0015174360415205262	0.0014438530156584742	0.0013676145777059981	0.0012910882245771266	0.0012164207622378873	0.00114544434143317	0.0010796045423043675	0.001019914285249951	0.0009669354842487546	0.0009207884266496812	0.0008811870095429685	0.0008474963229203186	0.0008188077557596172	0.0007940258936295403	0.000771961020489788	0.0007514210410375533	0.0007312970753688095	0.0007106377850774814	0.0006887085835923258	0.0006650331601572996	0.000639416094605422	0.0006119466488100587	0.0005829849917624087	0.0005531330701458085	0.0005231930233451971	0.0004941164397311349	0.0004669478690340394	0.00044276588003173446	0.0004226246404184992	0.00040749856483631526	0.00039823209713783347	0.0003954962250060105	0.0003997529135505622	0.00041122831239672603	0.00042989533827885877	0.0004554660423451866	0.00048739400432005575	0.0005248868147678199	0.0005669284760188528	0.0006123112481039824	0.0006596760830200295	0.0007075603448960861	0.0007544510415269271	0.0007988413460915755	0.0008392878260180044	0.000874465576177026	0.0009032184214871162	0.0009246015354417495	0.0009379142170395862	0.0009427211539705136	0.0009388612261070579	0.0009264437045562033	0.0009058325033456909	0.0008776198699422676	0.0008425914941425573	0.0008016854268219512	0.000755947406793072	0.0007064851947423471	0.0006544243278273507	0.0006008673731747403	0.0005468583193901801	0.0004933532518525116	0.0004411979569450639	0.0003911126320798521	0.0003436834717836961	0.0002993605734044692	0.0002584613667223069	0.00022117861866710497	0.00018759198980677935	0.000157682111757726	0.000131346200982488	0.00010841431136699735	8.866544331609708e-05	7.184286017467759e-05	5.766810444893786e-05	4.585334887372354e-05	3.611185438097533e-05	2.8166433085827415e-05	2.175592517405799e-05	1.6639790790464386e-05	1.260098962492706e-05	9.44737107799672e-06	7.011827155867262e-06	5.151470288446265e-06	3.746091773319158e-06	2.696136916249743e-06	1.9204039189658982e-06	1.3536389212340059e-06	9.44162800653365e-07	6.516292967673743e-07	4.449809989579684e-07	3.006412273097149e-07	2.0095664453455823e-07	1.3288775675321858e-07	8.693200532916224e-08	5.6256305120877814e-08	3.6011843357569835e-08	2.2802850431549282e-08	1.4282052338896324e-08	8.847872202969095e-09	5.421553669272822e-09	3.285762659553996e-09	1.9695532198276023e-09	1.1676445889983474e-09	6.846333116154228e-10	3.970117720909636e-10	2.2768840084738147e-10	1.2914133494601986e-10	7.243886376933022e-11	4.018422215072079e-11	2.2045150171058517e-11	1.1960255543162443e-11	6.41703534317744e-12	3.4048027214234485e-12	1.7865298418344472e-12	9.270152873621706e-13	4.756850969018823e-13	2.413827098967886e-13	1.2112808783104407e-13	6.010823156059609e-14	2.949659469760933e-14	1.4313875885547848e-14	6.8689250148389204e-15	3.259607499058153e-15	1.5296278964338036e-15	7.098217185240989e-16	3.257278606654533e-16	1.4780934097497765e-16	6.632686827803102e-17	2.943181832180008e-17	1.2914693390973547e-17	5.603894846203694e-18	2.4045523853143993e-18	1.0202731515054771e-18
yellow	hue	2.7349320228341987e-05	0.0001779556378461527	0.000704996000334006	0.0017498642175578492	0.002907106373014703	0.003752062546657832	0.004810303114490204	0.00716038862346239	0.011344363862019265	0.017000435601012356	0.023620343799513603	0.030604551155321066	0.03758486691266548	0.046324519194190034	0.05849299964586944	0.07253083167611074	0.08501100389969438	0.09132228748442335	0.08853209722799195	0.07959206957166634	0.06957579755666222	0.0624270308297299	0.05820255878369681	0.050882997590495596	0.03828841484311133	0.026283846246943937	0.017218901519086904	0.009333220111615461	0.0035355040762713673	0.0008578673113412035	0.00012847321681350277	1.1666063381619766e-05	6.360375137275217e-07	2.0698605695715953e-08	4.0064042983737916e-10	4.602451425342135e-12	3.133881611767989e-14	1.2638601498220132e-16	3.017439109567327e-19	4.263657166774709e-22	3.5650026611759813e-25	1.763719530904951e-28	5.162577230237778e-32	8.940387512360852e-36	9.159889044717859e-40	5.552173754879394e-44	1.9910025687929656e-48	4.223910763512387e-53	5.301401913876128e-58	3.9363996172227556e-63	1.729178051265248e-68	4.4937831467558596e-74	6.909016684191594e-80	6.284229372875813e-86	3.3815781314735755e-92	1.0765108426795001e-98	2.027444426885687e-105	2.2589731457294984e-112	1.4890343988754556e-119	5.806707410459864e-127	1.3396356732112425e-134	1.8284159929211437e-142	1.4763688215384562e-150	7.052551472919403e-159	1.9931005526969787e-167	3.332296983998761e-176	3.296019222484421e-185	1.928711708545778e-194	6.676924159567392e-204	1.3674678193891855e-213	1.656873422902366e-223	1.187662636000573e-233	5.036494928730033e-244	1.2635582086598125e-254	1.8753988750668337e-265	1.6467345370450992e-276	8.554311922036723e-288	2.6289245105730867e-299	4.7797226201857e-311	5e-323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
green	saturation	3.4071504882029325e-42	2.0415469411302618e-41	1.2006408612690373e-40	6.930323582921777e-40	3.9262824571054143e-39	2.1832236858617555e-38	1.1915291654079954e-37	6.382664199791091e-37	3.35576368709739e-36	1.731705476760554e-35	8.771043473462212e-35	4.360380752742961e-34	2.1276240287330414e-33	1.0189764558033252e-32	4.789980412996659e-32	2.2100660588477125e-31	1.000876238083148e-30	4.44898418860326e-30	1.9411028130006766e-29	8.312761604908462e-29	3.494243999926269e-28	1.4416981550164567e-27	5.8386287743429974e-27	2.3209462598925133e-26	9.056062438315627e-26	3.4684572489942232e-25	1.303942759625099e-24	4.8118125860211214e-24	1.742969373687875e-23	6.197331097434488e-23	2.163000852349857e-22	7.410526004254559e-22	2.4922132249262112e-21	8.227517193474765e-21	2.6662670189585213e-20	8.481910815305428e-20	2.6487633047669813e-19	8.1200061558062425e-19	2.4436438124020215e-18	7.219258375689663e-18	2.09375296047759e-17	5.961310454429039e-17	1.666276325700721e-16	4.572430330246955e-16	1.2318222645002824e-15	3.2580389575088236e-15	8.460158031021816e-15	2.1568587195351033e-14	5.398751471933885e-14	1.326786827093375e-13	3.2014984908137167e-13	7.585048404584817e-13	1.7645148727402802e-12	4.030544031078544e-12	9.04031062489898e-12	1.991108131485816e-11	4.3063484544756096e-11	9.146141573223068e-11	1.9076263460092165e-10	3.9074030262932265e-10	7.860246454271927e-10	1.5529285078012465e-09	3.013347174459228e-09	5.743084133001366e-09	1.0751183041872417e-08	1.9769701243021414e-08	3.571045850880727e-08	6.336682806088268e-08	1.1046395960400767e-07	1.891879225376532e-07	3.1834915907963063e-07	5.263518819288993e-07	8.55139423438356e-07	1.3652543232945662e-06	2.1420779652169364e-06	3.303185334851058e-06	5.006557350626386e-06	7.459135631331941e-06	1.0924894450562835e-05	1.573127030159045e-05	2.2272477510127623e-05	3.1008011960303026e-05	4.245457818309736e-05	5.716984142648157e-05	7.572686405094601e-05	9.867886021663392e-05	0.000126514971528394	0.00015960904776618446	0.00019816477071029349	0.00024216169774388764	0.00029130771470746404	0.0003450037746609066	0.00040232651002272	0.00046203327267004804	0.0005225924190709069	0.0005822393662308977	0.0006390563468803432	0.0006910712000183477	0.0007363682741251899	0.0007732028909552134	0.0008001100368922213	0.0008159981278043357	0.0008202198231338954	0.0008126138217757779	0.000793514138600549	0.0007637262561942521	0.0007244724643444692	0.0006773113405177696	0.0006240384270411401	0.0005665765273827613	0.0005068645589899264	0.0004467535400988247	0.0003879171236209609	0.0003317822799281699	0.0002794834975966362	0.00023184148290131994	0.0001893650672743861	0.0001522731195587236	0.00012053188785661314	9.390246217162e-05	7.19929609765152e-05	5.4310525513330294e-05	4.030911435945833e-05	2.943025139968614e-05	2.113511195420782e-05	1.4927476164994646e-05	1.0368019533078795e-05	7.081082517761449e-06	4.755449322956209e-06	3.1407966969757925e-06	2.0414008431953714e-06	1.3084815057471004e-06	8.322840361993618e-07	5.347101911826469e-07	3.6304885285613143e-07	2.851542626118695e-07	2.862814088041541e-07	3.6771247078682374e-07	5.472811945097181e-07	8.619029866968873e-07	1.3722215411387697e-06	2.169458916383455e-06	3.3844749091689554e-06	5.198874657518334e-06	7.857727916948666e-06	1.16830686386306e-05	1.708683819712811e-05	2.458135636872887e-05	3.478482162484472e-05	4.841886364280738e-05	6.629493486882287e-05	8.928648998622207e-05	0.00011828460870623542	0.00015413607036319523	0.00019756490533663488	0.0002490810229940426	0.00030888239749797926	0.0003767600860924178	0.00045201755517873494	0.0005334168563606279	0.0006191636513608021	0.0007069406359009494	0.0007939945492627458	0.0008772760221660113	0.0009536247100142077	0.0010199854602856594	0.001073635779544986	0.0011124016308429819	0.0011348383508272746	0.0011403565051801299	0.001129278515541022	0.0011028200590392668	0.001062999318715596	0.0010124857203266007	0.0009544064877374892	0.0008921331920877651	0.0008290709990717372	0.000768470678638209	0.0007132783249707434	0.0006660312144567197	0.000628801519963594	0.0006031838054497258	0.0005903181304812152	0.0005909385409840794	0.0006054365917059707	0.0006339308444170412	0.0006763353092217594	0.0007324218255881483	0.0008018728670344938	0.0008843219533652418	0.000979378871806898	0.0010866366532481543	0.001205657308556908	0.0013359342837804876	0.001476831824873588	0.0016275049813162146	0.0017868084221124103	0.001953206785851598	0.002124702878569912	0.002298801578679119	0.0024725259558926673	0.002642497496159861	0.002805084731426557	0.002956614962984194	0.0030936336516807885	0.0032131872217990055	0.0033130992091987598	0.0033922081572712102	0.0034505389656607263	0.0034893871737538286	0.003511306703045036	0.003520004042458554	0.003520153618140638	0.003517158177379232	0.0035168830168621694	0.003525393202779426	0.003548718884196535	0.0035926665211575707	0.003662684998284618	0.0037637869919207264	0.0039005191868168097	0.004076971026598661	0.0042968109302070675	0.004563340875514861	0.004879563914300454	0.005248263185715932	0.0056720939650981225	0.0061536911147294735	0.006695792362369994	0.007301373070734611	0.00797378109801538	0.008716851983865128	0.009534976349197139	0.010433084548810548	0.011416509739847647	0.012490690978988498	0.013660683872461863	0.014930458510700748	0.01630198335278865	0.01777411924328713	0.019341378895020345	0.020992641904777842	0.022709950265377803	0.024467539496996857	0.026231279766378447	0.027958702904239227	0.02959976884126215	0.031098474586310695	0.032395330262310326	0.033430624960831046	0.034148291176794465	0.03450006637907608	0.034449562897900035	0.03397581141608811	0.033075853181418716	0.03176602770540524
background	saturation	0.0005776032505458929	0.0006112196679951604	0.0006462895592575637	0.0006828499452549609	0.000720936220306019	0.0007605816629096728	0.0008018169057808449	0.0008446693690067011	0.0008891626611838156	0.0009353159543674173	0.0009831433395929888	0.0010326531705975158	0.0010838474041527549	0.0011367209461070006	0.0011912610127973332	0.0012474465179253228	0.001305247495271846	0.0013646245677496895	0.0014255284732473182	0.0014878996574977893	0.0015516679438106772	0.001616752288932383	0.0016830606335550345	0.0017504898550829743	0.001818925829198327	0.0018882436055558762	0.001958307701597659	0.0020289725170268883	0.0021000828699387097	0.0021714746539933604	0.0022429756143585032	0.0023144062384658232	0.0023855807559473394	0.002456308240464361	0.0025263938045420762	0.0025956398770001976	0.002663847551149403	0.00273081799062779	0.0027963538786033772	0.0028602608950882677	0.002922349206316108	0.0029824349495433575	0.003040341696260511	0.0030959018766532243	0.0031489581482434612	0.0031993646919724955	0.0032469884195627814	0.0032917100768123982	0.0033334252285288583	0.0033720451120892647	0.0034074973481082586	0.0034397264983873814	0.0034686944631888974	0.0034943807119001665	0.003516782343303972	0.003535913973915839	0.0035518074551584254	0.003564511422480676	0.003574090681858879	0.0035806254414005308	0.003584210397971768	0.003584953690847298	0.0035829757363015097	0.0035784079587855904	0.0035713914358355683	0.0035620754751008576	0.0035506161428467023	0.003537174763946035	0.0035219164137209624	0.003505008422011102	0.0034866189095311647	0.0034669153759352665	0.0034460633580387207	0.0034242251753737337	0.003401558778693985	0.0033782167152204066	0.0033543452223681056	0.0033300834594480115	0.0033055628844365697	0.00328090678039552	0.0032562299335470502	0.003231638462413836	0.0032072297948659944	0.0031830927874241938	0.0031593079787950763	0.0031359479674043706	0.003113077900683881	0.0030907560620960874	0.0030690345403749783	0.0030479599642490814	0.003027574285012017	0.003007915588730722	0.0029890189196390463	0.002970917096355826	0.0029536415029866744	0.0029372228379066817	0.0029216918040603896	0.002907079725934179	0.002893419079928265	0.0028807439266504108	0.0028690902356376734	0.002858496095149359	0.0028490018019255653	0.002840649828131317	0.0028334846650661383	0.0028275525455723908	0.0028229010493834934	0.002819578597876664	0.0028176338467978904	0.0028171149874752425	0.002818068968799294	0.002820540653798313	0.0028245719259467313	0.002830200761397602	0.0028374602841071054	0.002846377821309465	0.0028569739769963233	0.0028692617409526375	0.002883245650502846	0.002898921021432539	0.0029162732635825564	0.002935277295379282	0.002955897070085915	0.0029780852248578924	0.0030017828617882134	0.00302691946806539	0.0030534129801716367	0.0030811699947573936	0.003110086126478595	0.0031400465107147206	0.003170926446739178	0.003202592174629854	0.003234901777027113	0.0032677061948085343	0.0033008503438918136	0.0033341743187343125	0.0033675146667014964	0.003400705716354487	0.0034335809418820713	0.0034659743453925645	0.0034977218385975977	0.003528662605569144	0.0035586404287318604	0.003587504961057784	0.0036151129285453484	0.003641329248468751	0.0036660280505498516	0.0036890935900998727	0.0037104210442639642	0.0037299171847350295	0.0037475009226373645	0.003763103723666062	0.0037766698939533617	0.0037881567394662348	0.003797534603969187	0.003804786792662878	0.0038099093904861723	0.0038129109857043073	0.0038138123107617117	0.003812645813423942	0.003809455171945287	0.003804294768360873	0.0037972291340071136	0.0037883323810227808	0.0037776876328849446	0.0037653864660076378	0.0037515283731032753	0.0037362202574118615	0.0037195759650823783	0.003701715860991802	0.003682766451162155	0.003662860052740755	0.0036421345103012314	0.003620732955061609	0.0035988036015585775	0.0035764995744192937	0.003553978756185281	0.0035314036457134304	0.003508941215546482	0.0034867627558418084	0.0034650436919964824	0.0034439633630227143	0.003423704748015708	0.0034044541287106605	0.003386400677132358	0.0033697359586755448	0.0033546533425843723	0.003341347313684416	0.0033300126813139755	0.0033208436836505233	0.003314032987977172	0.003309770589824828	0.0033082426162995534	0.003309630041204094	0.0033141073217329213	0.0033218409685110894	0.0033329880625142527	0.0033476947339127535	0.0033660946190972557	0.003388307313046175	0.0034144368347745545	0.0034445701238577744	0.0034787755859584848	0.0035171017049171354	0.0035595757383188533	0.0036062025125529152	0.003656963332271704	0.003711815017874344	0.0037706890832291057	0.0038334910643524262	0.0039001000082239125	0.003970368129377442	0.00404412064040501	0.004121155761074436	0.004201244909419492	0.004284133076929562	0.004369539388855594	0.004457157849661436	0.0045466582727787565	0.0046376873930549355	0.0047298701595961685	0.00482281120607501	0.004916096494961864	0.005009295131518299	0.0051019613427217905	0.005193636615540876	0.005283851988114783	0.005372130486384341	0.005457989697549556	0.005540944470379758	0.005620509730869426	0.005696203400022163	0.005767549398671955	0.005834080722241755	0.005895342566231534	0.005950895481068408	0.006000318532796529	0.006043212443997406	0.006079202687381734	0.006107942502754026	0.006129115806595469	0.006142439962410799	0.00614766837931016	0.006144592906108849	0.0061330459885795205	0.006112902558424566	0.006084081624079494	0.006046547535624847	0.006000310898872227	0.005945429117080355	0.0058820065427136765	0.005810194226126615	0.005730189252972895	0.005642233667418954	0.005546612983788724	0.005443654294978708
