genotype	HEADER_SHAPES	area	hull-area	solidity	perimeter	width	height	longest_axis	center-of-mass-x	center-of-mass-y	hull_vertices	in_bounds	ellipse_center_x	ellipse_center_y	ellipse_major_axis	ellipse_minor_axis	ellipse_angle	ellipse_eccentricity	marker_area
ht-QQ74-2	SHAPES_DATA	4274.0	4383.0	0.975131188684	285.52185905	76	81	556	3605.00163781	2596.49017314	26	True	3604.99926758	2596.60253906	76.9400100708	69.9535446167	162.538421631	0.41636852252	68660.0
ht-QQ74-2	SHAPES_DATA	5105.0	5231.5	0.975819554621	304.291411042	83	87	631	3276.99588639	2558.55808031	28	True	3277.05493164	2558.66821289	85.8361358643	74.8499069214	147.506469727	0.489489343971	68660.0
ht-QQ74-2	SHAPES_DATA	4516.0	4579.0	0.986241537454	283.764499664	76	80	547	717.188662533	2514.7874225	23	True	717.218505859	2514.73754883	78.5183105469	71.8943405151	19.7827205658	0.402004038464	68660.0
ht-QQ74-2	SHAPES_DATA	3900.0	3986.0	0.9784244857	285.07820797	70	77	526	1129.67615385	2497.19923077	26	True	1129.83154297	2497.32983398	73.669883728	66.4641265869	159.949050903	0.431341854645	68660.0
ht-QQ74-2	SHAPES_DATA	4578.0	4704.0	0.973214285714	293.320848584	79	83	587	1598.87570992	2463.6832678	28	True	1599.07641602	2463.79370117	80.2331924438	72.0000762939	144.409866333	0.44124808597	68660.0
ht-QQ74-2	SHAPES_DATA	4745.0	4928.0	0.96286525974	301.07820797	83	86	586	2025.34120126	2449.1483667	30	True	2025.65576172	2449.48071289	81.4764938354	75.0530700684	145.398071289	0.389178771649	68660.0
ht-QQ74-2	SHAPES_DATA	3299.0	3329.5	0.990839465385	240.793937206	68	64	473	833.538344953	2375.51379206	29	True	833.620483398	2375.46728516	66.5898895264	61.6824913025	65.581237793	0.376776609851	68660.0
ht-QQ74-2	SHAPES_DATA	5422.0	5527.5	0.980913613749	313.462983966	84	90	641	3092.66543711	2304.00774622	25	True	3092.62988281	2304.07373047	87.3563537598	78.0133895874	146.768188477	0.44996203221	68660.0
ht-QQ74-2	SHAPES_DATA	929.0	1007.0	0.922542204568	145.882249832	46	32	295	3689.47470398	2227.33476857	15	True	3689.34277344	2227.24975586	46.3184432983	27.2517433167	104.66960907	0.808601868176	68660.0
ht-QQ74-2	SHAPES_DATA	3464.0	3598.0	0.962757087271	263.764499664	70	74	532	2755.67292148	2233.68591224	23	True	2755.80981445	2233.93432617	72.250579834	60.9977531433	146.007965088	0.535945181285	68660.0
ht-QQ74-2	SHAPES_DATA	5256.0	5350.5	0.982338099243	306.63455689	92	79	627	846.656392694	2206.59931507	28	True	846.697570801	2206.65014648	86.4868545532	76.0555267334	86.2975845337	0.47610528619	68660.0
ht-QQ74-2	SHAPES_DATA	3419.0	3440.0	0.993895348837	240.551296592	64	70	487	2025.93623867	2191.97075168	26	True	2025.95397949	2192.02050781	68.4468231201	62.3036155701	157.839828491	0.414062477011	68660.0
ht-QQ74-2	SHAPES_DATA	4124.0	4228.0	0.975402081362	289.906635046	84	75	582	3792.62681862	2182.03976722	26	True	3792.75756836	2182.37939453	80.7075653076	64.4912338257	122.036087036	0.601234056189	68660.0
ht-QQ74-2	SHAPES_DATA	5080.0	5227.5	0.971783835485	302.592926741	83	88	640	2536.55964567	2162.63543307	26	True	2536.56298828	2162.69897461	83.1750411987	76.7937088013	160.998886108	0.384131776321	68660.0
ht-QQ74-2	SHAPES_DATA	4404.0	4525.0	0.973259668508	293.320848584	80	81	564	1829.417802	2138.9386921	25	True	1829.69482422	2139.13500977	77.1914978027	72.9479675293	122.547721863	0.32699538016	68660.0
ht-QQ74-2	SHAPES_DATA	5393.0	5555.0	0.970837083708	325.119838119	86	90	644	2234.23029854	2095.97237159	30	True	2234.33569336	2096.03930664	84.6123428345	80.6075668335	166.506469727	0.304009100672	68660.0
ht-QQ74-2	SHAPES_DATA	3665.0	3716.5	0.986142876362	246.693431973	73	68	498	494.956343793	2070.34406548	26	True	494.885223389	2070.37524414	69.363861084	65.8841629028	100.008979797	0.312754086236	68660.0
ht-QQ74-2	SHAPES_DATA	4102.0	4177.0	0.982044529567	262.936072588	74	76	544	1376.68186251	2045.56777182	23	True	1376.71313477	2045.54101562	75.9962921143	67.3582839966	140.988647461	0.46304178215	68660.0
ht-QQ74-2	SHAPES_DATA	4428.0	4568.0	0.969352014011	286.249780893	82	77	565	2683.58039747	2040.84214092	25	True	2683.65405273	2040.92822266	78.1714248657	71.293762207	122.115966797	0.410149731983	68660.0
ht-QQ74-2	SHAPES_DATA	2930.0	2970.0	0.986531986532	229.96551013	68	65	479	2874.46313993	2034.14266212	24	True	2874.52490234	2034.11413574	66.295715332	55.5816192627	132.077301025	0.545071884317	68660.0
ht-QQ74-2	SHAPES_DATA	3844.0	3918.5	0.980987622815	260.936072588	72	73	528	1594.84989594	2008.45369407	25	True	1594.89880371	2008.52075195	72.4339141846	66.5682983398	134.521682739	0.394208251397	68660.0
ht-QQ74-2	SHAPES_DATA	4870.0	5125.5	0.950151204761	323.220343351	87	87	633	3452.18583162	2003.2201232	22	True	3452.19335938	2003.45825195	88.076713562	70.6648025513	133.625854492	0.596907973302	68660.0
ht-QQ74-2	SHAPES_DATA	4776.0	4958.0	0.963291649859	300.249780893	82	85	593	3643.34254606	1918.79313233	22	True	3643.40283203	1919.01342773	83.3369216919	72.8563232422	148.91355896	0.48549717848	68660.0
ht-QQ74-2	SHAPES_DATA	4719.0	5219.0	0.90419620617	335.948265195	76	99	692	2460.74507311	1915.87433778	30	True	2460.33984375	1916.1973877	96.0176467896	66.9469070435	167.844360352	0.716842192579	68660.0
ht-QQ74-2	SHAPES_DATA	3422.0	3499.5	0.97785397914	245.764499664	71	72	499	3130.54032729	1895.4170076	25	True	3130.47045898	1895.49609375	66.6271591187	64.7979507446	162.545883179	0.232712369819	68660.0
ht-QQ74-2	SHAPES_DATA	4280.0	4327.5	0.989023685731	270.835567355	78	78	556	1900.26028037	1837.65163551	29	True	1900.36706543	1837.98681641	78.7889862061	68.6934509277	129.461791992	0.489744216311	68660.0
ht-QQ74-2	SHAPES_DATA	4809.0	4843.0	0.992979558125	285.663994431	85	77	577	1553.7750052	1777.78831358	32	True	1553.86657715	1777.72607422	80.636505127	74.7538452148	97.0871429443	0.37494468102	68660.0
ht-QQ74-2	SHAPES_DATA	4246.0	4326.0	0.981507165973	269.764499664	76	76	546	1133.74140367	1734.39448893	26	True	1133.83618164	1734.44750977	77.3290939331	68.7626266479	129.744003296	0.45747857616	68660.0
ht-QQ74-2	SHAPES_DATA	5532.0	5733.5	0.9648556728	330.534051657	90	89	648	3751.64515546	1722.9736081	24	True	3751.6472168	1723.08337402	87.8504486084	79.424659729	135.71925354	0.427343362487	68660.0
ht-QQ74-2	SHAPES_DATA	4327.0	4383.0	0.987223362993	268.107645512	82	69	562	467.7524844	1693.95424081	27	True	467.718780518	1693.97070312	80.7339477539	66.9582824707	107.804931641	0.558700327548	68660.0
ht-QQ74-2	SHAPES_DATA	3856.0	3955.0	0.974968394437	267.036577821	71	78	546	2820.78682573	1671.05809129	28	True	2820.73291016	1671.20800781	75.5355072021	64.4613800049	155.033447266	0.521270074969	68660.0
ht-QQ74-2	SHAPES_DATA	4575.0	4736.0	0.966005067568	300.63455689	84	83	573	3337.00349727	1652.52568306	28	True	3337.39282227	1652.92126465	81.3075485229	72.0145492554	143.335357666	0.464247379321	68660.0
ht-QQ74-2	SHAPES_DATA	4264.0	4373.5	0.974962844404	276.249780893	76	81	559	2594.16533771	1562.43058161	24	True	2594.23632812	1562.65612793	77.1074829102	69.989440918	153.79927063	0.41964837129	68660.0
ht-QQ74-2	SHAPES_DATA	4101.0	4132.0	0.992497579864	263.865004897	74	76	546	1990.5737625	1515.23920995	26	True	1990.51159668	1515.33349609	72.7163619995	70.6164779663	120.203010559	0.238582379475	68660.0
ht-QQ74-2	SHAPES_DATA	4197.0	4289.5	0.978435715118	289.220343351	77	80	599	2304.84941625	1511.22253991	29	True	2304.90405273	1511.57312012	79.1463165283	67.1231613159	147.540527344	0.529852972089	68660.0
ht-QQ74-2	SHAPES_DATA	3574.0	3829.0	0.933402977279	279.663994431	70	81	566	3241.00699496	1458.5187465	25	True	3240.81396484	1458.86608887	76.7734451294	60.9665260315	163.497650146	0.60777464672	68660.0
