genotype	HEADER_SHAPES	area	hull-area	solidity	perimeter	width	height	longest_axis	center-of-mass-x	center-of-mass-y	hull_vertices	in_bounds	ellipse_center_x	ellipse_center_y	ellipse_major_axis	ellipse_minor_axis	ellipse_angle	ellipse_eccentricity	marker_area
ht-QQ74-6	SHAPES_DATA	5091.0	5226.5	0.974074428394	309.220343351	76	91	629	2076.11942644	2701.78000393	31	True	2076.20581055	2702.15136719	87.6452713013	73.6498260498	176.057037354	0.542095064947	71216.0
ht-QQ74-6	SHAPES_DATA	5015.0	5139.5	0.975775853682	300.735062122	86	84	606	3065.65403789	2692.30648056	25	True	3065.79150391	2692.50268555	86.1488418579	73.4401550293	135.371139526	0.522760022506	71216.0
ht-QQ74-6	SHAPES_DATA	4181.0	4464.0	0.936603942652	326.433546424	82	78	562	3902.90026309	2667.92705094	22	True	3902.88574219	2668.44921875	78.8242721558	68.4979553223	133.012039185	0.494819597938	71216.0
ht-QQ74-6	SHAPES_DATA	4286.0	4408.5	0.972212770784	279.865004897	75	75	578	606.72375175	2635.06416239	27	True	606.781311035	2635.15185547	74.8542404175	72.5927810669	170.949905396	0.243947283953	71216.0
ht-QQ74-6	SHAPES_DATA	4098.0	4346.0	0.942936033134	294.249780893	76	82	567	3412.26183504	2578.11786237	25	True	3412.15087891	2578.28393555	80.1385879517	65.0431442261	147.37399292	0.584167299964	71216.0
ht-QQ74-6	SHAPES_DATA	4977.0	5128.5	0.970459198596	301.663994431	80	88	646	2346.17339763	2557.5443038	22	True	2346.1237793	2557.55004883	85.5287322998	73.2283401489	155.07611084	0.516670879482	71216.0
ht-QQ74-6	SHAPES_DATA	3818.0	3875.0	0.985290322581	257.622364283	67	75	523	1134.69172342	2541.09533787	27	True	1134.77746582	2541.22387695	72.477142334	66.3853149414	0.606883585453	0.401296300799	71216.0
ht-QQ74-6	SHAPES_DATA	4164.0	4462.0	0.933213805468	311.220343351	75	86	608	2663.38736792	2508.20821326	25	True	2663.17382812	2508.57446289	82.0184249878	65.7912521362	11.5014400482	0.597119755764	71216.0
ht-QQ74-6	SHAPES_DATA	3485.0	3559.0	0.979207642596	262.350286126	67	71	509	1823.34777618	2443.58507891	27	True	1823.46923828	2443.62353516	71.9345397949	60.7001914978	145.046203613	0.536617835882	71216.0
ht-QQ74-6	SHAPES_DATA	4594.0	4718.5	0.973614496132	291.663994431	76	81	608	845.377666522	2398.85894645	24	True	845.603515625	2399.33178711	79.6186447144	73.5892791748	7.80285978317	0.381734700745	71216.0
ht-QQ74-6	SHAPES_DATA	5222.0	5352.5	0.975618869687	309.563489199	87	87	602	3738.5691306	2400.21409422	28	True	3738.60522461	2400.20825195	85.6550979614	76.5835189819	144.387969971	0.447883790021	71216.0
ht-QQ74-6	SHAPES_DATA	3636.0	3839.5	0.946998307071	270.007140279	67	77	527	1379.04455446	2366.66061606	21	True	1379.29455566	2366.91308594	73.7178649902	63.2444114685	172.867919922	0.513774670111	71216.0
ht-QQ74-6	SHAPES_DATA	4241.0	4369.0	0.970702677958	289.320848584	73	82	572	2910.61919359	2345.8415468	25	True	2910.59716797	2345.82104492	81.637008667	65.757019043	153.759613037	0.592622269731	71216.0
