genotype	HEADER_SHAPES	area	hull-area	solidity	perimeter	width	height	longest_axis	center-of-mass-x	center-of-mass-y	hull_vertices	in_bounds	ellipse_center_x	ellipse_center_y	ellipse_major_axis	ellipse_minor_axis	ellipse_angle	ellipse_eccentricity	marker_area
ht-QQ74-23	SHAPES_DATA	4344.0	4464.0	0.9731182795698925	283.0782079696655	78	81	574	3396.193600368324	2844.3070902394106	26	True	3396.20068359375	2844.4912109375	80.56074523925781	67.9524917602539	151.11888122558594	0.5371388594571765	68446.0
ht-QQ74-23	SHAPES_DATA	5959.0	6234.0	0.9558870709015078	348.43354642391205	96	90	678	4033.0902836046316	2577.0302064104717	27	True	4033.0556640625	2577.156005859375	92.67893981933594	81.82681274414062	131.80577087402344	0.4695493591630295	68446.0
ht-QQ74-23	SHAPES_DATA	5496.0	5718.5	0.961091195243508	333.1614682674408	87	94	673	3072.847343522562	2541.0931586608444	29	True	3072.904541015625	2541.33935546875	90.24440002441406	77.88773345947266	156.43263244628906	0.5050748736639371	68446.0
ht-QQ74-23	SHAPES_DATA	4655.0	4712.0	0.9879032258064516	290.14927566051483	78	83	607	1092.0953813104188	2534.0758324382386	30	True	1092.1015625	2534.278564453125	80.57936096191406	73.25200653076172	159.96192932128906	0.41665081065045734	68446.0
ht-QQ74-23	SHAPES_DATA	3006.0	3073.0	0.9781972014318255	234.69343197345734	64	66	444	2556.4524284763806	2501.7604790419164	24	True	2556.48828125	2501.90625	62.8669319152832	60.20803451538086	158.05601501464844	0.2877487108396806	68446.0
ht-QQ74-23	SHAPES_DATA	5443.0	5606.5	0.9708374208507982	317.7056245803833	87	93	660	3425.3948190336214	2499.2559250413374	27	True	3425.412109375	2499.41552734375	91.01904296875	75.68242645263672	147.7734832763672	0.5555232353206382	68446.0
ht-QQ74-23	SHAPES_DATA	3343.0	3473.0	0.9625683846818313	258.0071402788162	66	77	539	1954.4077176189053	2453.7352677236017	21	True	1954.57080078125	2453.928955078125	76.89604949951172	55.919132232666016	146.56405639648438	0.6864211624722091	68446.0
ht-QQ74-23	SHAPES_DATA	4655.0	4795.5	0.9707016995099572	314.29141104221344	78	86	619	1702.2880773361976	2387.1250268528465	28	True	1702.5125732421875	2387.218017578125	84.71151733398438	69.48993682861328	147.43215942382812	0.5719152121216418	68446.0
ht-QQ74-23	SHAPES_DATA	4776.0	4908.0	0.9731051344743277	308.7766922712326	74	88	600	1348.4721524288107	2370.2931323283083	27	True	1348.5235595703125	2370.26025390625	85.44181823730469	70.24846649169922	167.2605438232422	0.5692290698891085	68446.0
ht-QQ74-23	SHAPES_DATA	3981.0	4058.0	0.9810251355347461	274.04877042770386	77	78	557	2358.91710625471	2305.9718663652347	31	True	2358.95166015625	2306.38427734375	73.98576354980469	68.87808990478516	133.93800354003906	0.3651107246700503	68446.0
