genotype	HEADER_SHAPES	area	hull-area	solidity	perimeter	width	height	longest_axis	center-of-mass-x	center-of-mass-y	hull_vertices	in_bounds	ellipse_center_x	ellipse_center_y	ellipse_major_axis	ellipse_minor_axis	ellipse_angle	ellipse_eccentricity	marker_area
ht-QQ74-4	SHAPES_DATA	4901.0	5155.0	0.950727449079	338.333041191	86	85	604	3975.02285248	2724.4464395	21	True	3974.91674805	2724.71533203	81.5323562622	76.6505813599	54.5932846069	0.340830694848	68283.0
ht-QQ74-4	SHAPES_DATA	5311.0	5607.5	0.947124386982	320.291411042	80	94	659	2211.20335153	2658.33986067	25	True	2211.37548828	2658.51782227	91.832824707	73.5917358398	158.6743927	0.598173860975	68283.0
ht-QQ74-4	SHAPES_DATA	4424.0	4522.0	0.978328173375	303.320848584	83	77	591	3631.81894213	2643.1846745	27	True	3631.91601562	2643.23144531	81.6990890503	68.0300292969	126.594558716	0.553739163765	68283.0
ht-QQ74-4	SHAPES_DATA	5190.0	5340.0	0.97191011236	311.948265195	86	89	631	2901.5628131	2637.78786127	31	True	2901.68530273	2637.91210938	89.3079833984	73.7451248169	143.414916992	0.564051740359	68283.0
ht-QQ74-4	SHAPES_DATA	4732.0	4870.5	0.971563494508	293.764499664	77	81	635	1819.0771344	2630.17476754	25	True	1819.17749023	2630.53491211	80.7283477783	74.6249389648	161.047775269	0.381434866681	68283.0
ht-QQ74-4	SHAPES_DATA	4465.0	4599.0	0.970863231137	289.906635046	72	86	585	1498.75207167	2600.69764838	24	True	1498.82128906	2600.8203125	84.4719314575	66.7965316772	167.219573975	0.61213384939	68283.0
ht-QQ74-4	SHAPES_DATA	4306.0	4415.5	0.97520099649	300.492421508	73	78	549	1183.00789596	2580.84626103	26	True	1183.12731934	2581.25366211	75.7419128418	71.8096694946	9.9745759964	0.318021044669	68283.0
ht-QQ74-4	SHAPES_DATA	3542.0	3623.5	0.977507934318	246.936072588	70	77	543	2527.08554489	2574.7944664	21	True	2527.25976562	2574.94335938	70.975692749	63.0867767334	163.811523438	0.458197413962	68283.0
ht-QQ74-4	SHAPES_DATA	3995.0	4125.0	0.968484848485	275.906635046	80	73	556	598.6718398	2569.10312891	28	True	598.777709961	2569.10620117	72.7285995483	69.4882888794	105.033439636	0.295164203538	68283.0
ht-QQ74-4	SHAPES_DATA	3819.0	3905.0	0.977976952625	264.835567355	75	77	526	3073.80544645	2568.75176748	24	True	3073.76367188	2568.80639648	78.0328903198	61.6349029541	138.05291748	0.61328976376	68283.0
ht-QQ74-4	SHAPES_DATA	5457.0	5585.5	0.976994002327	318.048770428	86	90	637	834.584020524	2462.55634964	30	True	834.625915527	2462.69335938	85.1447067261	80.8888015747	172.52432251	0.312202365051	68283.0
ht-QQ74-4	SHAPES_DATA	3167.0	3233.5	0.979434049791	235.622364283	66	66	500	2334.67350805	2383.86233028	21	True	2334.56713867	2383.97631836	66.6952438354	59.6584472656	136.082626343	0.44708139767	68283.0
ht-QQ74-4	SHAPES_DATA	4270.0	4400.0	0.970454545455	311.563489199	80	79	612	3698.42248244	2378.78056206	23	True	3698.30688477	2378.72827148	82.3943405151	65.6119995117	138.00944519	0.604879753871	68283.0
ht-QQ74-4	SHAPES_DATA	6014.0	6223.0	0.966414912422	362.81832242	99	90	715	3967.5359162	2379.64067177	25	True	3967.34375	2379.82055664	94.8484802246	80.401473999	126.757591248	0.530502591871	68283.0
ht-QQ74-4	SHAPES_DATA	4225.0	4348.5	0.971599402093	287.320848584	76	79	562	3334.67715976	2335.75289941	27	True	3334.59887695	2335.68164062	76.1265258789	69.4668655396	145.10774231	0.40903536668	68283.0
ht-QQ74-4	SHAPES_DATA	3473.0	3532.5	0.983156404812	245.622364283	69	68	498	553.325942989	2329.41520299	21	True	553.347961426	2329.51635742	66.8965988159	65.3326797485	158.526641846	0.214964583591	68283.0
ht-QQ74-4	SHAPES_DATA	4449.0	4640.5	0.958732895162	303.462983966	82	80	588	2950.23398517	2334.19689818	25	True	2950.10839844	2334.28076172	79.7624130249	70.579750061	125.197013855	0.46582890726	68283.0
ht-QQ74-4	SHAPES_DATA	4183.0	4269.0	0.979854766924	275.563489199	78	79	565	2642.09132202	2329.04566101	23	True	2642.07446289	2329.0637207	77.5090866089	67.8939590454	130.984313965	0.482404841566	68283.0
ht-QQ74-4	SHAPES_DATA	4401.0	4605.0	0.955700325733	302.048770428	82	80	581	1832.00363554	2313.37150648	22	True	1832.07788086	2313.88354492	76.7464828491	73.4761581421	112.638160706	0.288804963204	68283.0
ht-QQ74-4	SHAPES_DATA	2926.0	3012.0	0.971447543161	247.036577821	62	70	500	2081.93779904	2216.6937799	26	True	2082.16748047	2217.25561523	66.3307113647	56.33177948	157.256317139	0.527980690599	68283.0
ht-QQ74-4	SHAPES_DATA	4151.0	4219.5	0.983765849034	279.663994431	77	73	510	1486.41267165	2198.62755962	29	True	1486.45837402	2198.72241211	74.1632385254	69.9241714478	120.576034546	0.333241803094	68283.0
ht-QQ74-4	SHAPES_DATA	3514.0	3567.5	0.985003503854	251.764499664	64	74	504	1187.071144	2121.71741605	26	True	1187.15209961	2121.79711914	72.1733627319	60.8477554321	171.683502197	0.537791713252	68283.0
ht-QQ74-4	SHAPES_DATA	2922.0	3039.5	0.96134232604	242.107645512	66	65	463	2384.08521561	2094.62046543	22	True	2384.27832031	2094.85400391	61.1926116943	60.1042900085	126.180305481	0.187760618044	68283.0
ht-QQ74-4	SHAPES_DATA	4575.0	4709.5	0.971440704958	294.391916275	81	80	563	860.944480874	2075.87060109	29	True	861.132019043	2075.88842773	77.6083068848	74.1135177612	14.2929754257	0.296705985373	68283.0
ht-QQ74-4	SHAPES_DATA	5250.0	5458.5	0.961802693048	311.70562458	90	88	607	3319.27657143	2063.448	28	True	3319.19506836	2063.67602539	85.0859680176	78.5050506592	130.990524292	0.38562484139	68283.0
ht-QQ74-4	SHAPES_DATA	4278.0	4363.0	0.980517992207	277.906635046	81	74	517	590.243805517	2047.30785414	25	True	590.198181152	2047.32177734	77.2583770752	69.6835861206	113.336158752	0.431829854538	68283.0
