genotype	HEADER_SHAPES	area	hull-area	solidity	perimeter	width	height	longest_axis	center-of-mass-x	center-of-mass-y	hull_vertices	in_bounds	ellipse_center_x	ellipse_center_y	ellipse_major_axis	ellipse_minor_axis	ellipse_angle	ellipse_eccentricity	marker_area
ht-QQ74-38	SHAPES_DATA	5047.0	5183.5	0.9736664415935179	314.97770273685455	87	82	673	3879.899148008718	2711.303150386368	29	True	3879.93798828125	2711.362548828125	89.49771881103516	70.76616668701172	132.3757781982422	0.6121991899691983	69007.0
ht-QQ74-38	SHAPES_DATA	3012.0	3119.5	0.9655393492546882	257.2792184352875	60	68	549	1812.5673970783532	2651.8459495351926	27	True	1812.739501953125	2651.62841796875	71.00230407714844	53.7898063659668	144.99658203125	0.6527442733217421	69007.0
ht-QQ74-38	SHAPES_DATA	3837.0	3928.5	0.9767086674303169	268.73506212234497	78	72	563	3589.549648162627	2653.210581183216	27	True	3589.686279296875	2653.480712890625	78.58226776123047	61.458866119384766	127.12274932861328	0.6231581413066895	69007.0
ht-QQ74-38	SHAPES_DATA	3611.0	3687.5	0.9792542372881355	248.69343197345734	66	75	513	1382.1248961506508	2637.962337302686	28	True	1382.1322021484375	2638.068359375	73.09477233886719	61.700782775878906	169.8336944580078	0.5361537854886468	69007.0
ht-QQ74-38	SHAPES_DATA	4356.0	4478.0	0.9727556945064761	305.6051193475723	78	80	574	3300.6352157943065	2632.145546372819	26	True	3300.566162109375	2632.129638671875	78.14421844482422	70.14678955078125	149.51446533203125	0.4406925922646749	69007.0
ht-QQ74-38	SHAPES_DATA	4051.0	4164.0	0.972862632084534	275.3208485841751	73	80	601	2502.408541100963	2628.735867686991	27	True	2502.468505859375	2628.881591796875	79.950439453125	64.01483917236328	139.19598388671875	0.5990902334452104	69007.0
ht-QQ74-38	SHAPES_DATA	3809.0	3887.5	0.9798070739549839	263.0782079696655	72	74	521	2129.488317143607	2619.756103964295	26	True	2129.340576171875	2619.765869140625	73.60282135009766	64.92949676513672	140.0572509765625	0.470949010127125	69007.0
ht-QQ74-38	SHAPES_DATA	3858.0	3929.0	0.9819292440824637	258.2497808933258	74	75	578	2884.2314670813894	2601.272161741835	24	True	2884.284912109375	2601.296142578125	75.23001861572266	64.07699584960938	140.3102264404297	0.5239521387574886	69007.0
ht-QQ74-38	SHAPES_DATA	3839.0	3992.5	0.9615529117094552	307.6051193475723	71	72	516	1118.3318572544933	2593.0614743422766	29	True	1118.5362548828125	2593.589599609375	70.67272186279297	69.084716796875	174.4624786376953	0.2107956236672779	69007.0
ht-QQ74-38	SHAPES_DATA	4050.0	4144.5	0.9771986970684039	274.83556735515594	79	70	565	586.5165432098765	2555.755061728395	26	True	586.4524536132812	2555.8125	75.77833557128906	66.78852844238281	66.46524810791016	0.4724321270408869	69007.0
ht-QQ74-38	SHAPES_DATA	4623.0	4720.0	0.9794491525423729	287.1787132024765	76	81	525	864.918018602639	2463.2104693921697	27	True	864.947509765625	2463.303466796875	80.27100372314453	71.95235443115234	8.614139556884766	0.44331085264530545	69007.0
ht-QQ74-38	SHAPES_DATA	4110.0	4287.5	0.958600583090379	273.4213538169861	78	73	536	3569.4367396593675	2406.3396593673965	21	True	3569.3828125	2406.47021484375	76.21412658691406	68.20355224609375	122.70401763916016	0.44627908177406855	69007.0
