genotype	HEADER_SHAPES	area	hull-area	solidity	perimeter	width	height	longest_axis	center-of-mass-x	center-of-mass-y	hull_vertices	in_bounds	ellipse_center_x	ellipse_center_y	ellipse_major_axis	ellipse_minor_axis	ellipse_angle	ellipse_eccentricity	marker_area
ht-QQ74-44	SHAPES_DATA	4247.0	4346.0	0.9772204325816843	277.90663504600525	73	78	571	1309.392276901342	2581.7431127854957	23	True	1309.4903564453125	2581.732177734375	77.16205596923828	68.84870910644531	170.76837158203125	0.4515195903846958	68287.0
ht-QQ74-44	SHAPES_DATA	4225.0	4337.0	0.974175697486742	284.97770273685455	87	75	627	3888.798816568047	2573.305798816568	24	True	3889.052978515625	2573.814453125	86.62760162353516	62.658203125	126.94628143310547	0.6905283826607578	68287.0
ht-QQ74-44	SHAPES_DATA	4531.0	4619.0	0.9809482571985279	283.3208485841751	78	83	579	3193.748620613551	2559.2767600971088	25	True	3193.912109375	2559.48046875	81.48405456542969	70.11183166503906	157.15939331054688	0.5095581579034346	68287.0
ht-QQ74-44	SHAPES_DATA	3608.0	3670.0	0.9831062670299727	244.00714027881622	73	75	536	2196.4681263858092	2553.9365299334813	25	True	2196.585693359375	2554.06298828125	72.64026641845703	62.926239013671875	145.0601806640625	0.4995723972552789	68287.0
ht-QQ74-44	SHAPES_DATA	4700.0	4814.5	0.9762176757711081	288.97770273685455	80	84	586	2751.3744680851064	2533.832765957447	27	True	2751.373291015625	2533.968505859375	80.54767608642578	73.62296295166016	147.86114501953125	0.4056474168962132	68287.0
ht-QQ74-44	SHAPES_DATA	2761.0	2798.0	0.9867762687634024	225.37972366809845	55	68	486	1721.6378123868164	2518.155740673669	28	True	1721.655029296875	2518.270263671875	66.21951293945312	51.94935989379883	172.53660583496094	0.6201259135765705	68287.0
ht-QQ74-44	SHAPES_DATA	3080.0	3163.0	0.9737590894720203	239.86500489711761	63	69	453	579.7983766233766	2381.6944805194803	26	True	579.7098999023438	2381.708984375	66.28255462646484	58.13186264038086	172.8658905029297	0.4804335825661953	68287.0
ht-QQ74-44	SHAPES_DATA	3622.0	3665.5	0.9881325876415223	247.27921843528748	65	72	506	804.2929320817228	2333.5922142462728	30	True	804.3410034179688	2333.531005859375	71.74634552001953	62.743412017822266	158.77947998046875	0.4849945315019592	68287.0
ht-QQ74-44	SHAPES_DATA	3352.0	3452.0	0.9710312862108922	256.59292674064636	67	75	500	2402.180489260143	2316.2595465393797	25	True	2402.33251953125	2316.26513671875	70.49897766113281	60.38496398925781	172.83627319335938	0.5160860639674183	68287.0
ht-QQ74-44	SHAPES_DATA	3404.0	3458.5	0.9842417232904438	253.86500489711761	65	68	466	1410.9694477085782	2311.8927732079906	26	True	1411.0111083984375	2311.962646484375	67.80213165283203	62.57258224487305	24.1429386138916	0.38511059901533584	68287.0
ht-QQ74-44	SHAPES_DATA	4155.0	4208.5	0.9872876321729832	267.52185904979706	77	73	525	2619.2442839951864	2311.6654632972322	24	True	2619.281494140625	2311.656982421875	75.78992462158203	68.38162231445312	125.17105102539062	0.43120883660444403	68287.0
ht-QQ74-44	SHAPES_DATA	4610.0	4716.5	0.9774196968090745	294.29141104221344	82	80	567	3636.5229934924077	2228.194360086768	23	True	3636.416748046875	2228.4140625	79.46533966064453	73.07781219482422	44.02119064331055	0.39281223286625655	68287.0
ht-QQ74-44	SHAPES_DATA	3518.0	3625.0	0.9704827586206897	264.97770273685455	68	74	504	1893.8399658897101	2206.2134735645254	27	True	1893.958251953125	2206.25146484375	71.37973022460938	61.71271514892578	175.63015747070312	0.5025138060212349	68287.0
ht-QQ74-44	SHAPES_DATA	3136.0	3183.0	0.9852340559220861	234.55129659175873	64	67	485	892.249043367347	2133.955676020408	23	True	892.2032470703125	2133.97509765625	65.49803924560547	59.5689582824707	10.457603454589844	0.415754303411681	68287.0
ht-QQ74-44	SHAPES_DATA	4082.0	4218.0	0.9677572309151257	292.7766922712326	79	79	552	2852.4103380695738	2132.5281724644783	25	True	2852.799072265625	2132.588134765625	76.22296905517578	68.12351989746094	143.57359313964844	0.44858525335018423	68287.0
ht-QQ74-44	SHAPES_DATA	2928.0	3000.5	0.9758373604399266	232.93607258796692	64	67	483	2334.087431693989	2111.675887978142	26	True	2334.01318359375	2111.687255859375	66.09015655517578	56.025428771972656	146.52352905273438	0.5304565100754101	68287.0
ht-QQ74-44	SHAPES_DATA	4153.0	4194.0	0.9902241297091082	253.0365778207779	70	78	553	1363.9200577895497	2101.1268962196004	27	True	1363.9246826171875	2101.091796875	76.2559814453125	67.99214935302734	178.1790771484375	0.45276403775855706	68287.0
ht-QQ74-44	SHAPES_DATA	2851.0	2908.0	0.9803988995873453	222.55129659175873	58	67	460	1591.9884251139952	2086.6271483689934	24	True	1592.034423828125	2086.815185546875	63.950992584228516	55.82447814941406	163.45675659179688	0.48785280813938176	68287.0
ht-QQ74-44	SHAPES_DATA	2910.0	2946.0	0.9877800407331976	230.20815074443817	59	65	454	668.727147766323	2074.003436426117	23	True	668.7557373046875	2074.010498046875	64.04536437988281	56.4428596496582	178.65557861328125	0.47256652032950164	68287.0
ht-QQ74-44	SHAPES_DATA	3770.0	3822.0	0.9863945578231292	252.00714027881622	76	73	523	3047.9822281167108	2056.549071618037	27	True	3047.916748046875	2056.699462890625	70.13923645019531	67.48223876953125	56.67770767211914	0.2726325203108469	68287.0
ht-QQ74-44	SHAPES_DATA	3262.0	3311.5	0.9850520911973426	246.35028612613678	74	64	518	3301.2703862660946	2035.7385039852852	22	True	3301.421630859375	2035.8421630859375	69.77687072753906	60.712276458740234	100.56331634521484	0.49288986999756107	68287.0
ht-QQ74-44	SHAPES_DATA	4007.0	4092.5	0.9791081246182041	267.0782079696655	73	79	561	2074.369852757674	1987.7993511355128	27	True	2074.453125	1987.861572265625	75.1333999633789	67.2220458984375	155.5076141357422	0.4466624168302494	68287.0
