genotype	HEADER_SHAPES	area	hull-area	solidity	perimeter	width	height	longest_axis	center-of-mass-x	center-of-mass-y	hull_vertices	in_bounds	ellipse_center_x	ellipse_center_y	ellipse_major_axis	ellipse_minor_axis	ellipse_angle	ellipse_eccentricity	marker_area
ht-QQ74-3	SHAPES_DATA	5251.0	5400.5	0.972317378021	326.391916275	89	84	587	3181.29156351	2663.02475719	24	True	3181.29614258	2663.17089844	86.4243469238	77.0091171265	125.335708618	0.453889199535	70916.0
ht-QQ74-3	SHAPES_DATA	4317.0	4401.0	0.980913428766	276.835567355	75	82	594	3604.10030114	2645.2117211	25	True	3604.21240234	2645.52758789	80.4532394409	68.2560348511	143.624359131	0.52936551449	70916.0
ht-QQ74-3	SHAPES_DATA	4495.0	4662.0	0.964178464178	305.806129813	82	80	574	3930.367297	2610.41268076	27	True	3930.30859375	2610.6315918	85.8624343872	66.3047180176	135.544586182	0.635354823019	70916.0
ht-QQ74-3	SHAPES_DATA	4612.0	4685.5	0.984313307011	294.249780893	86	71	594	419.003469211	2599.20403296	24	True	418.940826416	2599.15356445	82.8786468506	69.7852478027	102.163017273	0.539450647922	70916.0
ht-QQ74-3	SHAPES_DATA	4536.0	4666.5	0.972034715526	291.178713202	76	86	606	2052.75925926	2597.26190476	25	True	2052.77294922	2597.49414062	82.4015426636	69.7944946289	156.377044678	0.531585387	70916.0
ht-QQ74-3	SHAPES_DATA	3854.0	3946.5	0.976561510199	266.107645512	70	77	587	990.449922159	2558.66113129	25	True	990.668151855	2558.73632812	77.3232040405	62.6427116394	150.369888306	0.586234825862	70916.0
ht-QQ74-3	SHAPES_DATA	4209.0	4267.5	0.986291739895	264.592926741	74	80	544	2679.58446187	2544.82727489	28	True	2679.45703125	2544.92797852	76.3885803223	69.6689758301	160.887878418	0.410114790386	70916.0
ht-QQ74-3	SHAPES_DATA	4159.0	4262.0	0.975832942281	288.977702737	79	76	511	1318.87064198	2533.88386631	28	True	1318.82434082	2533.92138672	73.6834640503	71.6304168701	28.968082428	0.234413695101	70916.0
ht-QQ74-3	SHAPES_DATA	4409.0	4555.5	0.967841071233	296.735062122	75	79	614	1615.66341574	2526.77772738	25	True	1615.71044922	2526.93994141	76.9161758423	71.9507598877	168.254272461	0.353475452026	70916.0
ht-QQ74-3	SHAPES_DATA	4367.0	4487.0	0.9732560731	274.936072588	78	81	633	2300.88435997	2511.95786581	24	True	2301.0300293	2512.15380859	83.4493789673	66.2320861816	139.224502563	0.608335745616	70916.0
ht-QQ74-3	SHAPES_DATA	3630.0	3700.0	0.981081081081	242.894442439	71	67	508	705.400826446	2444.41157025	24	True	705.443054199	2444.40820312	68.3152770996	66.3774032593	77.5752487183	0.236492250167	70916.0
ht-QQ74-3	SHAPES_DATA	4884.0	5028.0	0.971360381862	301.806129813	85	85	622	3279.6990172	2419.33435708	31	True	3279.80883789	2419.38745117	85.056854248	72.4082565308	134.350723267	0.524691519678	70916.0
ht-QQ74-3	SHAPES_DATA	3407.0	3495.5	0.974681733658	243.622364283	68	72	500	2007.3252128	2408.95714705	25	True	2007.62011719	2408.93383789	68.3771133423	63.1854820251	157.729156494	0.382214690797	70916.0
ht-QQ74-3	SHAPES_DATA	3624.0	3764.5	0.962677646434	263.96551013	75	72	504	3705.04801325	2370.80960265	27	True	3704.9128418	2370.98413086	71.0540618896	64.8266906738	126.668327332	0.409394910479	70916.0
ht-QQ74-3	SHAPES_DATA	4386.0	4477.0	0.979673888765	268.835567355	80	77	551	2927.874601	2313.82284542	25	True	2928.01171875	2313.92553711	80.3830337524	68.599609375	130.618804932	0.521241761737	70916.0
ht-QQ74-3	SHAPES_DATA	4048.0	4115.5	0.983598590694	265.764499664	70	82	581	1089.87648221	2272.83102767	31	True	1089.99035645	2272.69848633	82.5589141846	61.5451812744	156.82951355	0.666539349572	70916.0
ht-QQ74-3	SHAPES_DATA	4095.0	4222.0	0.969919469446	284.592926741	77	75	533	3994.76776557	2177.57435897	21	True	3994.98681641	2177.65844727	75.6101989746	68.1877212524	138.438446045	0.432086176966	70916.0
ht-QQ74-3	SHAPES_DATA	4868.0	5179.5	0.939859059755	333.605119348	84	93	689	2514.70316352	2180.75493016	26	True	2515.31933594	2181.8894043	86.6752929688	74.0851821899	156.397705078	0.519049883638	70916.0
ht-QQ74-3	SHAPES_DATA	5408.0	5535.5	0.97696685033	311.806129813	85	89	611	2716.65994822	2179.14996302	25	True	2716.60620117	2179.43383789	84.9788818359	80.4111404419	150.429138184	0.323440496196	70916.0
ht-QQ74-3	SHAPES_DATA	3999.0	4110.5	0.972874346187	299.220343351	78	71	529	496.131282821	2157.48912228	25	True	496.169616699	2157.55639648	75.1742477417	67.2096405029	101.621566772	0.447964414196	70916.0
ht-QQ74-3	SHAPES_DATA	3587.0	3750.5	0.956405812558	284.249780893	70	76	550	1897.11458043	2154.02202398	23	True	1897.54309082	2154.61279297	72.775932312	63.4426269531	148.367111206	0.489945869838	70916.0
ht-QQ74-3	SHAPES_DATA	3731.0	3749.0	0.995198719659	242.308655977	75	68	524	2220.19860627	2149.24738676	28	True	2220.19042969	2149.2421875	72.4768371582	64.2453994751	105.995826721	0.462869102606	70916.0
ht-QQ74-3	SHAPES_DATA	3683.0	3743.5	0.983838653666	251.96551013	66	74	516	1448.5297312	2140.10263372	27	True	1448.65673828	2140.41674805	73.0791320801	63.7212142944	5.28432655334	0.489598220159	70916.0
ht-QQ74-3	SHAPES_DATA	4173.0	4274.5	0.976254532694	267.764499664	84	75	580	3579.90558351	2122.01629523	29	True	3579.93554688	2122.24023438	79.9592514038	65.9828338623	122.058372498	0.564832252538	70916.0
ht-QQ74-3	SHAPES_DATA	4662.0	4770.0	0.977358490566	308.63455689	79	84	598	1700.23916774	2116.33569284	29	True	1700.27624512	2116.6496582	81.5027694702	72.2967376709	140.718521118	0.461680297199	70916.0
