genotype	HEADER_SHAPES	area	hull-area	solidity	perimeter	width	height	longest_axis	center-of-mass-x	center-of-mass-y	hull_vertices	in_bounds	ellipse_center_x	ellipse_center_y	ellipse_major_axis	ellipse_minor_axis	ellipse_angle	ellipse_eccentricity	marker_area
ht-QQ74-46	SHAPES_DATA	4903.0	5012.5	0.9781546134663341	306.9188276529312	83	90	648	3149.659392208852	2637.981643891495	28	True	3149.97119140625	2638.34033203125	89.0667724609375	70.61162567138672	141.33551025390625	0.6094893489765885	68965.0
ht-QQ74-46	SHAPES_DATA	5076.0	5262.0	0.9646522234891676	334.43354642391205	84	88	637	3596.240740740741	2602.791962174941	26	True	3596.299560546875	2603.1201171875	90.55024719238281	71.07686614990234	139.14071655273438	0.6195668161311083	68965.0
ht-QQ74-46	SHAPES_DATA	4878.0	5028.0	0.9701670644391408	294.4924215078354	76	91	661	1449.8987289872898	2547.637966379664	24	True	1449.93603515625	2547.870849609375	88.2486343383789	70.00010681152344	170.67507934570312	0.608942172252688	68965.0
ht-QQ74-46	SHAPES_DATA	4208.0	4284.0	0.9822595704948646	262.1076455116272	77	73	500	951.3631178707225	2442.259743346008	24	True	951.377197265625	2442.282470703125	73.98236083984375	71.27084350585938	97.42818450927734	0.26825070225974423	68965.0
ht-QQ74-46	SHAPES_DATA	3027.0	3084.5	0.9813584049278651	230.20815074443817	67	64	477	2987.3934588701686	2349.565906838454	24	True	2987.414794921875	2349.5302734375	65.22360229492188	58.003597259521484	131.27943420410156	0.45731690799005775	68965.0
ht-QQ74-46	SHAPES_DATA	4001.0	4043.0	0.9896116744991343	262.83556735515594	75	77	578	1099.7530617345662	2352.1442139465134	28	True	1099.8253173828125	2352.13134765625	77.26376342773438	65.28297424316406	141.0053253173828	0.5348666210496497	68965.0
ht-QQ74-46	SHAPES_DATA	3201.0	3239.0	0.9882679839456623	233.0365778207779	67	64	443	2136.1858794126833	2340.594814120587	24	True	2136.300048828125	2340.558837890625	64.58755493164062	62.00864028930664	105.7465591430664	0.2797563588209705	68965.0
ht-QQ74-46	SHAPES_DATA	4456.0	4519.5	0.9859497732050005	267.66399443149567	76	81	577	2570.1205116696588	2328.0747307001793	32	True	2570.052001953125	2328.10498046875	78.49169158935547	71.21166229248047	147.53465270996094	0.4205897067814526	68965.0
ht-QQ74-46	SHAPES_DATA	4192.0	4295.5	0.9759050168781283	294.04877042770386	83	76	576	3486.6416984732823	2248.141459923664	28	True	3486.764892578125	2248.265869140625	81.83062744140625	64.5311508178711	129.31935119628906	0.614914083164318	68965.0
ht-QQ74-46	SHAPES_DATA	3952.0	4081.5	0.9682714688227367	282.97770273685455	75	76	544	1974.1460020242914	2107.600455465587	25	True	1974.312255859375	2107.920166015625	78.66424560546875	63.51396179199219	138.38409423828125	0.5899966141723638	68965.0
ht-QQ74-46	SHAPES_DATA	3189.0	3244.0	0.9830456226880394	234.69343197345734	67	65	447	1495.5349639385388	2027.9319535904672	27	True	1495.511474609375	2027.915771484375	64.73986053466797	61.312110900878906	114.56732177734375	0.32107582581976213	68965.0
ht-QQ74-46	SHAPES_DATA	1077.0	1092.5	0.9858123569794051	138.46803629398346	48	34	310	1710.1104921077067	2009.686165273909	20	True	1709.826416015625	2009.4859619140625	44.87408447265625	31.089624404907227	87.69306182861328	0.7211113961545013	68965.0
ht-QQ74-46	SHAPES_DATA	4059.0	4131.5	0.9824518939852354	261.8650048971176	74	78	564	2390.8945553091894	2002.9275683665928	23	True	2390.887451171875	2003.136474609375	78.00932312011719	65.96549224853516	142.3705291748047	0.5338006270953719	68965.0
ht-QQ74-46	SHAPES_DATA	5150.0	5463.5	0.9426192001464263	358.0904005765915	87	93	643	3967.5266019417477	1997.5085436893203	25	True	3967.659423828125	1997.7236328125	91.56673431396484	72.46322631835938	148.94085693359375	0.6113366418936294	68965.0
ht-QQ74-46	SHAPES_DATA	4503.0	4585.0	0.9821155943293348	286.634556889534	81	79	577	3482.28580946036	1935.8572063069066	31	True	3482.594970703125	1936.090087890625	80.44910430908203	70.92422485351562	132.6422119140625	0.4719904507072892	68965.0
ht-QQ74-46	SHAPES_DATA	4002.0	4156.0	0.9629451395572666	282.2497808933258	73	80	576	2909.631684157921	1931.367316341829	25	True	2909.85400390625	1931.677001953125	76.98807525634766	66.19798278808594	154.68406677246094	0.5105514189857477	68965.0
